PdmarticleID;Bezeichnung;Externer Schlüssel;Nennspannung;Leistungsverbrauch Betrieb;Leistungsverbrauch Ruhestellung;Leistungsverbrauch Dimensionierung;Anschluss;Nenndrehmoment;Drehmoment Feder Wert;Stellkraft;Notstellfunktion;Drehwinkel;Laufzeit Motor;Laufzeit Notstellfunktion;Stellzeit Motor;Stellzeit Notstellfunktion;Laufzeit Referenz;Schallleistungspegel Motor;Ansteuerung;Arbeitsbereich Y;Stellungsrückmeldung U;Stellsignal Y veränderbar;Anschluss Speisung / Steuerung;Schutzart IEC/EN;Umgebungstemperatur;6287;Produktbild 4c/bw;Datenblattname;Datenblatt PDF;Company [Competitor];Serie Valve [Competitor];Serie Actuator [Competitor];Produkttyp Antrieb [Wettbewerber];Produkttyp Ventil [Wettbewerber];DN;kvs;PN;Hub;Voltage [Competitor];Sound power level [Competitor];Control type [Competitor];Running Time min [Competitor];Running Time max [Competitor];Torque [Competitor];Stroke [Competitor];Power consumption [Competitor];Connection [Competitor];Safety function [Competitor];Integrated switch [Competitor];Integrated potentiometer [Competitor];Degree of protection [Competitor];Angle of rotation [Competitor];Working range [Competitor];Positioning feedback [Competitor];Spindle driver [Competitor];Manual override [Competitor];Additional Specification [Competitor];Belimo Retrofit1 Actuator;Belimo Retrofit1 Accessory1;Belimo Retrofit1 Form fit adapter;Belimo Retrofit1 Reducer;Belimo Retrofit1 Insulation cover;Belimo Retrofit2 Actuator;Belimo Retrofit2 Accessory1;Belimo Retrofit2 Form fit adapter;Belimo Retrofit2 Reducer;Belimo Retrofit3 Actuator;Belimo Retrofit3 Accessory;Belimo Retrofit3 Form fit adapter;Belimo Retrofit4 Actuator;Belimo Retrofit4 Accessory;Belimo Retrofit4 Form fit adapter;Belimo Retrofit Valve;Belimo Retrofit VA-Unit;Versions-Nr;Pfad
298403;065Z0154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;VRB 3;;;Hubventil;15;2.5 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Danfoss\
299304;MTR32-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Osby;MTR;;;Hubventil;32;16 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Osby\
300222;Ziva G_DN 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Ziva G (Fig. 015);;;Drehventil;50;98 m³/h;;;;;;;;;;;;;;;;;;;;;;SR24A-R|SR24A-MF-R|SR24A-MP-R|SR230A-R;;ZSF-11;;;SR24P-R|SR24P-SR-R|SR24P-MF-R|SR24P-MP-R|SR230P-R|SR230P-SR-R;;ZPF-11;;SRF230A-R|SRF230A-S2-R|SRF24A-R|SRF24A-S2-R|SRFA-R|SRFA-S2-R;;ZSFF-11;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
298400;065Z0151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;VRB 3;;;Hubventil;15;0.63 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Danfoss\
300217;Zesa_DN 300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Zesa (Fig. 012);;;Drehventil;300;7430 m³/h;;;;;;;;;;;;;;;;;;;;;;SY4-230-3-T|SY4-230-MP-T|SY4-230-SR-T|SY4-24-3-T|SY4-24-MP-T|SY4-24-SR-T|SY6-230-3-T;;;;;;;;;;;;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
298395;065Z0136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;VRG 2;;;Hubventil;20;6.3 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;17;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Danfoss\
298856;BM-223 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Johnson Controls;BM-2xx 2;;;Hubventil;15;1.6 m³/h;;NA mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;18;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Johnson Controls\
299757;VUG 065 F304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sauter;VUG;;;Hubventil;65;63 m³/h;;40 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;ZRV-304;;;;;;;;;;;;;;;41;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Sauter\
300214;Zesa_DN 150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARI;Zesa (Fig. 012);;;Drehventil;150;1790 m³/h;;;;;;;;;;;;;;;;;;;;;;SY2-230-3-T|SY2-230-MP-T|SY2-230-SR-T|SY2-24-3-T|SY2-24-MP-T|SY2-24-SR-T|SY3-230-3-T|SY3-230-MP-T|SY3-230-SR-T|SY3-24-3-T|SY3-24-MP-T|SY3-24-SR-T;;ZSY-012;;ZSY-014;;;;;;;;;;;;;21;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Drehventile\ARI\
298405;065Z0156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danfoss;VRB 3;;;Hubventil;20;6.3 m³/h;;10 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;17;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Danfoss\
298853;"BR316RGA-0.75""-6.3-MS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hora;BR316RGA-MS;;;Hubventil;20;6.3 m³/h;;14 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Hora\
299762;VUG 150 F304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sauter;VUG;;;Hubventil;150;340 m³/h;;40 mm;;;;;;;;;;;;;;;;;;;;SVL230A-RE|SVL24A-MP-RE|EV24A-RE|EV230A-RE|EVC24A-MF-RE|EV24A-MP-RE|RV24A-MF-RE;;ZRV-304;;;;;;;;;;;;;;;25;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Sauter\
299754;VUG 032 F304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sauter;VUG;;;Hubventil;32;16 m³/h;;20 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;ZNV-204;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Sauter\
298851;"BR316RGA-2""-40";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hora;BR316RGA;;;Hubventil;50;40 m³/h;;14 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Hora\
298846;"BR316RGA-1.25""-12.5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hora;BR316RGA;;;Hubventil;32;12.5 m³/h;;14 mm;;;;;;;;;;;;;;;;;;;;NV24A-RE|NV24A-MP-RE|NVK24A-3-RE|NVK230A-3-RE|NVK24A-MP-RE|NVC24A-MP-RE|NVKC24A-MP-RE|NV230A-RE|NVC230A-RE|SV24A-RE|SV230A-RE|SV24A-MP-RE|SVC24A-MP-RE;;;;;;;;;;;;;;;;;20;EU\Mitbewerber Produkte Retrofit\Wasseranwendung\Retrofit Hubventile\Hora\
