PdmarticleID#PdmarticleID	Label#Label	External Key#ExternalKey	Nominal voltage#83	Power consumption in operation#67	Power consumption in rest position#68	Power consumption for wire sizing#69	Connection#6759	Nominal torque#260	Spring torque value#117	Actuating force#118	Emergency control function#890	Angle of rotation#473	Running time motor#230	Running time reference#3645	Running time emergency control position#3474	Sound power level motor#135	Control#281	Positioning signal Y#120	Control signal Y variable#5695	Operating range Y#121	Position feedback U#122	Connection supply / control#96	Degree of protection IEC/EN#144	Direction of motion motor#119	Auxiliary switch#112	Spindle driver#137	Ambient temperature#156	6287	Product picture 4c/bw#377	Data sheet name#406	Data sheet PDF#660	Company [Competitor]#7687	Serie Actuator [Competitor]#7606	Product type Actuator [Competitor]#7614	Voltage [Competitor]#7607	Sound power level [Competitor]#7608	Control type [Competitor]#7609	Running Time min [Competitor]#7610	Running Time max [Competitor]#7776	Torque [Competitor]#7611	Stroke [Competitor]#7612	Power consumption [Competitor]#7681	Connection [Competitor]#7682	Safety function [Competitor]#7683	Integrated switch [Competitor]#7684	Integrated potentiometer [Competitor]#7685	Degree of protection [Competitor]#7686	Angle of rotation [Competitor]#7771	Working range [Competitor]#7772	Positioning feedback [Competitor]#7773	Spindle driver [Competitor]#7774	Manual override [Competitor]#7775	Additional Specification [Competitor]#7613	Belimo Retrofit1 Antrieb#7597	Belimo Retrofit1 Accessory1#7604	Belimo Retrofit1 Accessory2#7777	Belimo Retrofit1 Actuator Note#7881	Belimo Retrofit2 Actuator#7680	Belimo Retrofit2 Accessory1#7697	Belimo Retrofit2 Accessory2#7778	Belimo Retrofit2 Actuator Note#7882	Belimo Retrofit3 Actuator#7688	Belimo Retrofit3 Accessory#7698	Belimo Retrofit3 Actuator Note#7883	Belimo Retrofit4 Actuator#7704	Belimo Retrofit4 Accessory#7705	Belimo Retrofit4 Actuator Note#7884	Version Number#VersionNr	Path#Path
59994	Z-GMA	Z-GMA																											pic_eu_z-gma_ground-plate_bw.jpg	Z-GMA																																						187	EU\Products\Accessories\Mechanical accessories\Air solutions\Baseplate extension\
4718	SM24P-P5	SM24P-P5	AC/DC 24 V	2 W	0.2 W	4 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm² (halogen-free)	IP66 + IP67	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp 14...20 mm	-30...50°C		pic_eu_robustline-luft-2cable_01_4c.jpg	SM24P-P5	SM24P-P5_datasheet_en-gb.pdf																																					381	EU\Products\Air solutions\RobustLine actuators\SM..P (20 Nm)\Open-Close, 3-point\AC/DC 24 V\
5052	SM24A-TP	SM24A-TP	AC/DC 24 V	2 W	0.2 W	4 VA	Terminals	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Terminals 4 mm² (cable Ø 4...10 mm, 3-wire)	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM24A-TP_4C.jpg	SM24A-TP	SM24A-TP_datasheet_en-gb.pdf																																					368	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC/DC 24 V\
5049	SM24A-SR-TP	SM24A-SR-TP	AC/DC 24 V	2 W	0.4 W	4 VA	Terminals	20 Nm				Max. 95°	150 s	90°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V	Terminals 4 mm² (cable Ø 4...10 mm, 4-wire)	IP54	selectable with switch 0 / 1		Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM24A-SR-TP_4C.jpg	SM24A-SR-TP	SM24A-SR-TP_datasheet_en-gb.pdf																																					375	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\modulating\AC/DC 24 V\
5027	LMC24A-SR	LMC24A-SR	AC/DC 24 V	1.5 W	0.4 W	3 VA	Cable	5 Nm				Max. 95°	35 s	90°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V	Cable 1 m, 4 x 0.75 mm²	IP54	selectable with switch 0 / 1		Universal spindle clamp 6...20 mm	-30...50°C		pic_eu_lm24a-sr_4c.jpg	LMC24A-SR	LMC24A-SR_datasheet_en-gb.pdf																																					340	EU\Products\Air solutions\Fast runner actuators\LMC..A (5 Nm)\modulating\AC/DC 24 V\
127810	P1000A-F	P1000A-F					Cable																IP54				-30...50°C		pic_eu_p1000a-f_4c.jpg	P1000A-F	P1000A-F_datasheet_en-gb.pdf																																					203	EU\Products\Accessories\Electrical accessories\Feedback potentiometer\
4728	SM24A-SR	SM24A-SR	AC/DC 24 V	2 W	0.4 W	4 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V	Cable 1 m, 4 x 0.75 mm²	IP54	selectable with switch 0 / 1		Universal spindle clamp reversible 10...20 mm	-30...50°C		pic_eu_sm24a-sr_4c.jpg	SM24A-SR	SM24A-SR_datasheet_en-gb.pdf																																					403	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\modulating\AC/DC 24 V\
5031	LU24A-SR	LU24A-SR	AC/DC 24 V	1.5 W	0.5 W	3 VA	Cable	3 Nm				0...330°	150 s	360°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V	Cable 1 m, 4 x 0.75 mm²	IP54	selectable with switch 0 / 1		Form fit 12 mm or 8 mm (with insert)	-30°C … 50°C		PIC_EU_LU24A-SR_4C.jpg	LU24A-SR	LU24A-SR_datasheet_en-gb.pdf																																					325	EU\Products\Air solutions\Full-rotation actuators\LU..A (3 Nm)\modulating\AC/DC 24 V\
4725	SM230A	SM230A	AC 230 V	2.5 W	0.6 W	6 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm²	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM230A_4C.jpg	SM230A	SM230A_datasheet_en-gb.pdf																																					374	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC 230 V\
4722	SM230PSR	SM230PSR	AC 230 V	3.5 W	1 W	6.5 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	modulating	DC 0...10 V		DC 2...10 V	DC 2...10 V		IP66 + IP67	selectable with switch 0 / 1		Universal spindle clamp 14...20 mm	-30...50°C		PIC_EU_Robustline-Luft-oFenster_01_4C.jpg	SM230PSR	SM230PSR_datasheet_en-gb.pdf																																					399	EU\Products\Air solutions\RobustLine actuators\SM..P (20 Nm)\modulating\AC 230 V\
4719	SM24P	SM24P	AC/DC 24 V	2 W	0.2 W	4 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Cable 1 m, 3 x 0.75 mm² (halogen-free)	IP66 + IP67	selectable with switch 0 (ccw rotation) / 1 (cw rotation)		Universal spindle clamp 14...20 mm	-30...50°C		pic_eu_robustline-luft-ofenster_01_4c.jpg	SM24P	SM24P_datasheet_en-gb.pdf																																					379	EU\Products\Air solutions\RobustLine actuators\SM..P (20 Nm)\Open-Close, 3-point\AC/DC 24 V\
5051	SM230A-S-TP	SM230A-S-TP	AC 230 V	2.5 W	0.6 W	6 VA	Terminals	20 Nm				Max. 95°	150 s	90°		45 dB(A)	Open-close|3-point					Terminals 4 mm² (cable Ø 4...10 mm, 3-wire)	IP54	selectable with switch 0 (ccw rotation) / 1 (cw rotation)	1 x SPDT	Universal spindle clamp reversible 10...20 mm	-30°C … 50°C		PIC_EU_SM230A-S-TP_4C.jpg	SM230A-S-TP	SM230A-S-TP_datasheet_en-gb.pdf																																					375	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\Open-Close, 3-point\AC 230 V\
140730	SM24A-MOD	SM24A-MOD	AC/DC 24 V	3.5 W	1.4 W	6 VA	Cable	20 Nm				Max. 95°	150 s	90°		45 dB(A)	communicative					Cable 1 m, 6 x 0.75 mm²	IP54	selectable with switch 0 / 1		Universal spindle clamp reversible 10...20 mm	-30°C ... 50°C		PIC_EU_SM24A-MOD_4C.jpg	SM24A-MOD	SM24A-MOD_datasheet_en-gb.pdf																																					288	EU\Products\Air solutions\Standard actuators\SM..A (20 Nm)\modulating, MOD\AC/DC 24 V\
