PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
5368;R419D;Regelkugelhahn;RKH;Ventil;2...130°C;;;;;;;;;;;;R4xxD(K);R4xxD(K)_datasheet_de-ch.pdf;;PIC_EU_R415D_01_4C.jpg;20;16;2700 kPa;1400 kPa;;400 kPa;16 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Aussengewinde;;Wasser;Regelventil;;ZR4520;;;290;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Aussengewinde, 2-Weg\DN 20\"
101666;SRF24A-SR-S2-5;Federrücklauf-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;NC;"90 s";;;"2 x EPU";AC/DC 24 V;20 Nm;IP54;SRF24A-SR-S2-5;SRF24A-SR-S2-5_datasheet_de-ch.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\Drosselklappen-Linkage\stetig\AC/DC 24 V\"
101667;SRF24A-SR-S2-5-O;Federrücklauf-Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;NO;"90 s";;;"2 x EPU";AC/DC 24 V;20 Nm;IP54;SRF24A-SR-S2-5-O;SRF24A-SR-S2-5-O_datasheet_de-ch.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\Drosselklappen-Linkage\stetig\AC/DC 24 V\"
61693;R6050R-B3;Auf-Zu-Kugelhahn;KH;Ventil;-10...100°C;;;;;;;;;;;;R6..R-B..;R6..R-B.._datasheet_de-ch.pdf;;PIC_EU_R6-neueCCV_01_SW.jpg;50;6;600 kPa;600 kPa;;100 kPa;49 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Flansch;;Wasser;Absperrventil;;;;;271;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Absperr-Kugelhahnen\Flansch, 2-Weg, PN 6\DN 50\"
61695;R7015R1P6-B1;Regelkugelhahn;RKH;Ventil;-10...100°C;;;;;;;;;;;;R7..Rxx-B..;R7..Rxx-B.._datasheet_de-ch.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;15;6;600 kPa;600 kPa;;100 kPa;1.6 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Flansch;;Wasser;Regelventil;;;;;298;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 3-Weg\DN 15\"
5174;H714N;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_de-ch.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;15;16;1600 kPa;;;;2.5 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";3-Weg;Flansch;;Wasser;Regelventil;ZH24-1;ZH715;;;269;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\3-Weg\N\DN 15\"
4926;LR24A-MF;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;5 Nm;IP54;LR24A-MF;LR24A-MF_datasheet_de-ch.pdf;;PIC_EU_LR24A-MF_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A|ZK1-GEN|ZK2-GEN|CR24-A3|CR24-B3|CRK24-B1;;;;304;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\LR..A (5 Nm)\Kugelhahn-Linkage\stetig, MF\AC/DC 24 V\"
61308;ZD6N-H150;Drosselklappe;;Antrieb;;Manuell;;;;;;;;;;;ZD6N-H150;;;"PIC_EU_ZD6N-H_Manual control_BW.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Manuelle Antriebe\"
61694;R7015RP63-B1;Regelkugelhahn;RKH;Ventil;-10...100°C;;;;;;;;;;;;R7..Rxx-B..;R7..Rxx-B.._datasheet_de-ch.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;15;6;600 kPa;600 kPa;;100 kPa;0.63 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Flansch;;Wasser;Regelventil;;;;;303;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 3-Weg\DN 15\"
4928;LR24A-SR;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"90 s";;;;AC/DC 24 V;5 Nm;IP54;LR24A-SR;LR24A-SR_datasheet_de-ch.pdf;;PIC_EU_LR24A_SR_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;301;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\LR..A (5 Nm)\Kugelhahn-Linkage\stetig\AC/DC 24 V\"
