PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
138952;H720N/NVK24A-3-TPC;H720N/NVK24A-3-TPC;;H720N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H720N/NVK24A-3-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
138957;H720R+NVK24A-3-TPC;H720R+NVK24A-3-TPC;;H720R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H720R+NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
138958;H720R/NVK24A-3-TPC;H720R/NVK24A-3-TPC;;H720R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H720R/NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
138963;H725N+NVK24A-3-TPC;H725N+NVK24A-3-TPC;;H725N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H725N+NVK24A-3-TPC;Hubventil;1300 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";43
138964;H725N/NVK24A-3-TPC;H725N/NVK24A-3-TPC;;H725N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H725N/NVK24A-3-TPC;Hubventil;1300 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";43
138969;H725R+NVK24A-3-TPC;H725R+NVK24A-3-TPC;;H725R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H725R+NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138970;H725R/NVK24A-3-TPC;H725R/NVK24A-3-TPC;;H725R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H725R/NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138975;H732N+NVK24A-3-TPC;H732N+NVK24A-3-TPC;;H732N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H732N+NVK24A-3-TPC;Hubventil;1000 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";37
138976;H732N/NVK24A-3-TPC;H732N/NVK24A-3-TPC;;H732N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H732N/NVK24A-3-TPC;Hubventil;1000 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";37
138981;H732R+NVK24A-3-TPC;H732R+NVK24A-3-TPC;;H732R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H732R+NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138982;H732R/NVK24A-3-TPC;H732R/NVK24A-3-TPC;;H732R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H732R/NVK24A-3-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138987;H740N+NVK24A-3-TPC;H740N+NVK24A-3-TPC;;H740N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H740N+NVK24A-3-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";37
138988;H740N/NVK24A-3-TPC;H740N/NVK24A-3-TPC;;H740N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H740N/NVK24A-3-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";37
138993;H740R+NVK24A-3-TPC;H740R+NVK24A-3-TPC;;H740R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H740R+NVK24A-3-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138994;H740R/NVK24A-3-TPC;H740R/NVK24A-3-TPC;;H740R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H740R/NVK24A-3-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
138999;H750N+NVK24A-3-TPC;H750N+NVK24A-3-TPC;;H750N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H750N+NVK24A-3-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
139000;H750N/NVK24A-3-TPC;H750N/NVK24A-3-TPC;;H750N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H750N/NVK24A-3-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
139005;H750R+NVK24A-3-TPC;H750R+NVK24A-3-TPC;;H750R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H750R+NVK24A-3-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
139006;H750R/NVK24A-3-TPC;H750R/NVK24A-3-TPC;;H750R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H750R/NVK24A-3-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";38
139011;H764N+NVK24A-3-TPC;H764N+NVK24A-3-TPC;;H764N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H764N+NVK24A-3-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
139012;H764N/NVK24A-3-TPC;H764N/NVK24A-3-TPC;;H764N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H764N/NVK24A-3-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
139017;H764R+NVK24A-3-TPC;H764R+NVK24A-3-TPC;;H764R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H764R+NVK24A-3-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";38
139018;H764R/NVK24A-3-TPC;H764R/NVK24A-3-TPC;;H764R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H764R/NVK24A-3-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
139023;H779N+NVK24A-3-TPC;H779N+NVK24A-3-TPC;;H779N;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H779N+NVK24A-3-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";42
139024;H779N/NVK24A-3-TPC;H779N/NVK24A-3-TPC;;H779N;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H779N/NVK24A-3-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";41
139029;H779R+NVK24A-3-TPC;H779R+NVK24A-3-TPC;;H779R;+;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H779R+NVK24A-3-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
139030;H779R/NVK24A-3-TPC;H779R/NVK24A-3-TPC;;H779R;/;NVK24A-3-TPC;"Antrieb mit Notstellfunktion";1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H779R/NVK24A-3-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";39
139805;H620R+NV230A-TPC;H620R+NV230A-TPC;;H620R;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H620R+NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139806;H620R/NV230A-TPC;H620R/NV230A-TPC;;H620R;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H620R/NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139817;H620S+NV230A-TPC;H620S+NV230A-TPC;;H620S;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H620S+NV230A-TPC;Hubventil;1600 kPa;1000 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139818;H620S/NV230A-TPC;H620S/NV230A-TPC;;H620S;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H620S/NV230A-TPC;Hubventil;1600 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139829;H624S+NV230A-TPC;H624S+NV230A-TPC;;H624S;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H624S+NV230A-TPC;Hubventil;1300 kPa;1000 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139830;H624S/NV230A-TPC;H624S/NV230A-TPC;;H624S;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H624S/NV230A-TPC;Hubventil;1300 kPa;1000 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139841;H625N+NV230A-TPC;H625N+NV230A-TPC;;H625N;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625N+NV230A-TPC;Hubventil;1300 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139842;H625N/NV230A-TPC;H625N/NV230A-TPC;;H625N;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625N/NV230A-TPC;Hubventil;1300 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139853;H625R+NV230A-TPC;H625R+NV230A-TPC;;H625R;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625R+NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139854;H625R/NV230A-TPC;H625R/NV230A-TPC;;H625R;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625R/NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139865;H625S+NV230A-TPC;H625S+NV230A-TPC;;H625S;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625S+NV230A-TPC;Hubventil;1300 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139866;H625S/NV230A-TPC;H625S/NV230A-TPC;;H625S;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H625S/NV230A-TPC;Hubventil;1300 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139877;H632N+NV230A-TPC;H632N+NV230A-TPC;;H632N;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632N+NV230A-TPC;Hubventil;1000 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139878;H632N/NV230A-TPC;H632N/NV230A-TPC;;H632N;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632N/NV230A-TPC;Hubventil;1000 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139889;H632R+NV230A-TPC;H632R+NV230A-TPC;;H632R;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632R+NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139890;H632R/NV230A-TPC;H632R/NV230A-TPC;;H632R;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632R/NV230A-TPC;Hubventil;600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139901;H632S+NV230A-TPC;H632S+NV230A-TPC;;H632S;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632S+NV230A-TPC;Hubventil;950 kPa;950 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139902;H632S/NV230A-TPC;H632S/NV230A-TPC;;H632S;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H632S/NV230A-TPC;Hubventil;950 kPa;950 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139913;H640N+NV230A-TPC;H640N+NV230A-TPC;;H640N;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640N+NV230A-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139914;H640N/NV230A-TPC;H640N/NV230A-TPC;;H640N;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640N/NV230A-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139925;H640R+NV230A-TPC;H640R+NV230A-TPC;;H640R;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640R+NV230A-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139926;H640R/NV230A-TPC;H640R/NV230A-TPC;;H640R;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640R/NV230A-TPC;Hubventil;500 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139937;H640S+NV230A-TPC;H640S+NV230A-TPC;;H640S;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640S+NV230A-TPC;Hubventil;500 kPa;500 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139938;H640S/NV230A-TPC;H640S/NV230A-TPC;;H640S;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640S/NV230A-TPC;Hubventil;500 kPa;500 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139949;H640SP+NV230A-TPC;H640SP+NV230A-TPC;;H640SP;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640SP+NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139950;H640SP/NV230A-TPC;H640SP/NV230A-TPC;;H640SP;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H640SP/NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139961;H650N+NV230A-TPC;H650N+NV230A-TPC;;H650N;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650N+NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139962;H650N/NV230A-TPC;H650N/NV230A-TPC;;H650N;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650N/NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139973;H650R+NV230A-TPC;H650R+NV230A-TPC;;H650R;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650R+NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139974;H650R/NV230A-TPC;H650R/NV230A-TPC;;H650R;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650R/NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139985;H650S+NV230A-TPC;H650S+NV230A-TPC;;H650S;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650S+NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139986;H650S/NV230A-TPC;H650S/NV230A-TPC;;H650S;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650S/NV230A-TPC;Hubventil;300 kPa;300 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
139997;H650SP+NV230A-TPC;H650SP+NV230A-TPC;;H650SP;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650SP+NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
139998;H650SP/NV230A-TPC;H650SP/NV230A-TPC;;H650SP;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H650SP/NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140009;H664N+NV230A-TPC;H664N+NV230A-TPC;;H664N;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664N+NV230A-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";43
140010;H664N/NV230A-TPC;H664N/NV230A-TPC;;H664N;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664N/NV230A-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";43
140021;H664R+NV230A-TPC;H664R+NV230A-TPC;;H664R;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664R+NV230A-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140022;H664R/NV230A-TPC;H664R/NV230A-TPC;;H664R;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664R/NV230A-TPC;Hubventil;140 kPa;140 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140033;H664S+NV230A-TPC;H664S+NV230A-TPC;;H664S;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664S+NV230A-TPC;Hubventil;130 kPa;130 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";42
140034;H664S/NV230A-TPC;H664S/NV230A-TPC;;H664S;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664S/NV230A-TPC;Hubventil;130 kPa;130 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
140045;H664SP+NV230A-TPC;H664SP+NV230A-TPC;;H664SP;+;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664SP+NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140046;H664SP/NV230A-TPC;H664SP/NV230A-TPC;;H664SP;/;NV230A-TPC;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H664SP/NV230A-TPC;"Hubventil (teildruckentlastet)";1600 kPa;1000 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140057;H679N+NV230A-TPC;H679N+NV230A-TPC;;H679N;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H679N+NV230A-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140058;H679N/NV230A-TPC;H679N/NV230A-TPC;;H679N;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H679N/NV230A-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";40
140069;H679R+NV230A-TPC;H679R+NV230A-TPC;;H679R;+;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H679R+NV230A-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140070;H679R/NV230A-TPC;H679R/NV230A-TPC;;H679R;/;NV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H679R/NV230A-TPC;Hubventil;80 kPa;80 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";40
140313;H411B+SV230A-TPC;H411B+SV230A-TPC;;H411B;+;SV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H411B+SV230A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";37
140314;H411B/SV230A-TPC;H411B/SV230A-TPC;;H411B;/;SV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H411B/SV230A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";37
140315;H411B+SV24A-TPC;H411B+SV24A-TPC;;H411B;+;SV24A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H411B+SV24A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";40
140316;H411B/SV24A-TPC;H411B/SV24A-TPC;;H411B;/;SV24A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H411B/SV24A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";40
140317;H412B+SV230A-TPC;H412B+SV230A-TPC;;H412B;+;SV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H412B+SV230A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";37
140318;H412B/SV230A-TPC;H412B/SV230A-TPC;;H412B;/;SV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H412B/SV230A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";37
140319;H412B+SV24A-TPC;H412B+SV24A-TPC;;H412B;+;SV24A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H412B+SV24A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";40
140320;H412B/SV24A-TPC;H412B/SV24A-TPC;;H412B;/;SV24A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H412B/SV24A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";40
140321;H413B+SV230A-TPC;H413B+SV230A-TPC;;H413B;+;SV230A-TPC;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|SelectPro_AP|VDI3805|Internet_EU;;;H413B+SV230A-TPC;Hubventil;1600 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";37
