PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
104761;D650N/SR24A-5;D650N/SR24A-5;;D650N;/;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR24A-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104764;D650N+SR24A-MP-5;D650N+SR24A-MP-5;;D650N;+;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N+SR24A-MP-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104765;D650N/SR24A-MP-5;D650N/SR24A-MP-5;;D650N;/;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D650N/SR24A-MP-5;Drosselklappe;1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104776;D665N+SR230A-5;D665N+SR230A-5;;D665N;+;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR230A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";49
104777;D665N/SR230A-5;D665N/SR230A-5;;D665N;/;SR230A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR230A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104778;D665N+SR24A-5;D665N+SR24A-5;;D665N;+;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR24A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";47
104779;D665N/SR24A-5;D665N/SR24A-5;;D665N;/;SR24A-5;Standardantrieb;1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR24A-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";48
104782;D665N+SR24A-MP-5;D665N+SR24A-MP-5;;D665N;+;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR24A-MP-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104783;D665N/SR24A-MP-5;D665N/SR24A-MP-5;;D665N;/;SR24A-MP-5;"Kommunikationsfähiger Antrieb";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR24A-MP-5;Drosselklappe;1200 kPa;7 kPa;;"EU\Inbox\Kombinationen\Folder..6/..7\";48
104792;D680N+GR24A-SR-5;D680N+GR24A-SR-5;;D680N;+;GR24A-SR-5;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D680N+GR24A-SR-5;Drosselklappe;1200 kPa;6 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
