PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
5134;H613R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;15;6;600 kPa;;;;1.6 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;305;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
303852;EP020R-R6+BAC;"Regelkugelhahn mit sensorgeführter Durchflussregelung";6-Weg-EPIV;VA-Einheit;"6...80°C ";stetig|kommunikativ;DC 2...10 V;"Modbus RTU|BACnet MS/TP|MP-Bus";;"90 s";;;;AC/DC 24 V;"5 Nm";IP54;EP..R-R6+BAC;EP..R-R6_BAC_datasheet_de-ch.pdf;;PIC_EU_EP..R-R6-BAC_4C.jpg;20;16;1600 kPa;;;110 kPa;;;;;;2.3 m³/h;;;;2340 l/h;;;;1620 l/h;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Druckunabhängig;CRK24-B1;ZR2320|ZR-004;1.95 l/min;18.6 l/min;171;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\6-Weg-EPIV\"
5290;R3015-P63-P63-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;0.63 m³/h;0.63 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;408;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
61653;R3025-10-S2;Regelkugelhahn;RKH;Ventil;-10...120°C;;;;;;;;;;;;R3..xx-S..;R3..xx-S.._datasheet_de-ch.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;25;16;1600 kPa;1400 kPa;;350 kPa;10 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Innengewinde;;Wasser;Regelventil;;ZR2325;;;355;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 3-Weg\"
5130;H680N;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..N;H6..N_datasheet_de-ch.pdf;;PIC_EU_H625N_4C.jpg;80;16;1600 kPa;;;;100 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1-C;;;;299;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\2-Weg\N\"
101232;EV24A-SZ-TPC;Hubantrieb;;Antrieb;;stetig;DC 0.5...10 V;;;;"150 s / 40 mm";"2500 N";;AC/DC 24 V;;IP54;EV24A-SZ-TPC;EV24A-SZ-TPC_datasheet_de-ch.pdf;;PIC_EU_EV24A-SZ-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;299;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Standardantriebe\EV..A (2500N)\"
101231;SVC24A-SR-TPC;Hubantrieb;;Antrieb;;stetig;DC 2...10 V;;;;"35 s / 20 mm";"1500 N";;AC/DC 24 V;;IP54;SVC24A-SR-TPC;SVC24A-SR-TPC_datasheet_de-ch.pdf;;PIC_EU_SVC24A-SR-TPC_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H;;;;289;"EU\Produkte\Wasseranwendungen\Hubsortiment Antriebe\Schnellläufer-Antriebe\SVC..A (1500N)\"
305191;R3020-4-1P6-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;4 m³/h;1.6 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;137;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
305188;R3020-1-4-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;1 m³/h;4 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;132;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5133;H612R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;15;6;600 kPa;;;;1 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;317;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
