PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
286850;P6125W3100E-KMP;P6125W3100E-KMP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6125W3100E-KMP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";83
286849;P6100W2000E-KMP;P6100W2000E-KMP;;;;;;;"Scenario 3";;PPK|SelectPro|SelectPro_AP;;;P6100W2000E-KMP;"Communicative characterised control valve with sensor-operated flow control";690 kPa;340 kPa;;"EU\Products\Water solutions\VA Units\EPIV\SuperCap EPIV\";84
104476;D625N+SR230A-5;D625N+SR230A-5;;D625N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D625N+SR230A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104477;D625N/SR230A-5;D625N/SR230A-5;;D625N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D625N/SR230A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104478;D625N+SR24A-5;D625N+SR24A-5;;D625N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D625N+SR24A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104479;D625N/SR24A-5;D625N/SR24A-5;;D625N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D625N/SR24A-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104482;D625N+SR24A-MP-5;D625N+SR24A-MP-5;;D625N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";0;PPK|SelectPro|VDI3805|Internet_EU;;;D625N+SR24A-MP-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";43
104483;D625N/SR24A-MP-5;D625N/SR24A-MP-5;;D625N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D625N/SR24A-MP-5;"Butterfly valve";1200 kPa;2.5 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";43
104761;D650N/SR24A-5;D650N/SR24A-5;;D650N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D650N/SR24A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";44
104740;D640N+SR230A-5;D640N+SR230A-5;;D640N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D640N+SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104722;D632N+SR24A-MP-5;D632N+SR24A-MP-5;;D632N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D632N+SR24A-MP-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104741;D640N/SR230A-5;D640N/SR230A-5;;D640N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D640N/SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104723;D632N/SR24A-MP-5;D632N/SR24A-MP-5;;D632N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D632N/SR24A-MP-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";44
104742;D640N+SR24A-5;D640N+SR24A-5;;D640N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D640N+SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";44
104764;D650N+SR24A-MP-5;D650N+SR24A-MP-5;;D650N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D650N+SR24A-MP-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";42
104743;D640N/SR24A-5;D640N/SR24A-5;;D640N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D640N/SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";43
104765;D650N/SR24A-MP-5;D650N/SR24A-MP-5;;D650N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D650N/SR24A-MP-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";42
104716;D632N+SR230A-5;D632N+SR230A-5;;D632N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D632N+SR230A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";50
104717;D632N/SR230A-5;D632N/SR230A-5;;D632N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D632N/SR230A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104718;D632N+SR24A-5;D632N+SR24A-5;;D632N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D632N+SR24A-5;"Butterfly valve";1200 kPa;4 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104746;D640N+SR24A-MP-5;D640N+SR24A-MP-5;;D640N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro|VDI3805|Internet_EU;;;D640N+SR24A-MP-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";42
104758;D650N+SR230A-5;D650N+SR230A-5;;D650N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro|VDI3805|Internet_EU;;;D650N+SR230A-5;"Butterfly valve";1200 kPa;10 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
