PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
4939;LRF230-S;"Spring-return rotary actuator";;Actuator;;Open-close;;;NC;"75 s";;;"2 x SPDT";AC 230 V;4 Nm;IP54;LRF230-S;LRF230-S_datasheet_en-gb.pdf;;PIC_EU_LRF..-S2_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\LRF.. (4 Nm)\Ball valve linkage\Open-Close\AC 230 V\"
5185;H7100N;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;100;16;1600 kPa;;;;145 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-C;ZH7100;;;267;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\N\DN 100\"
5183;H779N;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;80;16;1600 kPa;;;;90 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-C;ZH780;;;270;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\N\DN 80\"
5187;H7150N;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;150;16;1600 kPa;;;;320 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-D;ZH7150;;;265;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\N\DN 150\"
5470;H7032Y16-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..Y..S..;H7..Y..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;32;40;4000 kPa;;;;16 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;259;"EU\Products\Water solutions\Globe valve range valves\PN40, flange\3-way\Y\DN 32\"
61707;R7050R-B3;"Change-over ball valve";CV;Valve;-10...100°C;;;;;;;;;;;;R7..R-B..;R7..R-B.._datasheet_en-gb.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;50;6;600 kPa;600 kPa;;100 kPa;49 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;Flange;;Water;"Change-over valve";;;;;284;"EU\Products\Water solutions\Rotary product range valves\Change-over ball valve\Flange, 3-way, PN 6 \DN 50\"
5468;H7020Y6P3-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..Y..S..;H7..Y..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;20;40;4000 kPa;;;;6.3 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;263;"EU\Products\Water solutions\Globe valve range valves\PN40, flange\3-way\Y\DN 20\"
5188;H711R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;15;6;600 kPa;;;;0.63 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1;;;;268;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\reduced\DN 15\"
61734;SRQ24A;"Very fast running rotary actuator";;Actuator;;Open-close;;;;"9 s";;;;AC/DC 24 V;16 Nm;IP54;SRQ24A;SRQ24A_datasheet_en-gb.pdf;;PIC_EU_GR230A-neutral_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;300;"EU\Products\Water solutions\Rotary product range actuators\Very fast runner actuator\SRQ..A (20 Nm)\Ball valve linkage\Open-Close\AC/DC 24 V\"
4944;NRF24A-SZ-O;"Spring-return rotary actuator";;Actuator;;modulating;DC 0.5...10 V;;NO;"90 s";;;;AC/DC 24 V;10 Nm;IP54;NRF24A-SZ-O;NRF24A-SZ-O_datasheet_en-gb.pdf;;PIC_EU_NRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;314;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
