PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
4951;SR24A;"Rotary actuator";;Actuator;;Open-close|3-point;;;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;SR24A;SR24A_datasheet_en-gb.pdf;;PIC_EU_SR24A_01_4c.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;371;"EU\Products\Water solutions\Rotary product range actuators\Standard actuators\SR..A (20 Nm)\"
5477;H7020X6P3-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..X..S..;H7..X..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;20;25;2500 kPa;;;;6.3 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;275;"EU\Products\Water solutions\Globe valve range valves\PN25, flange\3-way\"
5481;H7050X40-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..X..S..;H7..X..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;50;25;2500 kPa;;;;40 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;277;"EU\Products\Water solutions\Globe valve range valves\PN25, flange\3-way\"
69684;R2050-25-S4;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R2..xx-S..;R2..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R2-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;25 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;"Internal thread";;Water;"Control valve";;ZR2350;;;317;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 2-way\"
61406;SRF24A-SZ-5;"Spring-return rotary actuator";;Actuator;;modulating;DC 0.5...10 V;;NC;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;SRF24A-SZ-5;SRF24A-SZ-5_datasheet_en-gb.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
61401;SRF24A-5;"Spring-return rotary actuator";;Actuator;;Open-close;;;NC;"75 s";;;;AC/DC 24 V;"20 Nm";IP54;SRF24A-5;SRF24A-5_datasheet_en-gb.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
61402;SRF24A-5-O;"Spring-return rotary actuator";;Actuator;;Open-close;;;NO;"75 s";;;;AC/DC 24 V;"20 Nm";IP54;SRF24A-5-O;SRF24A-5-O_datasheet_en-gb.pdf;;PIC_EU_SRF-neutral-1K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;292;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
61833;SRFA-S2-O;"Spring-return rotary actuator";;Actuator;;Open-close;;;NO;"75 s";;;"2 x SPDT";AC 24...240 V / DC 24...125 V;"20 Nm";IP54;SRFA-S2-O;SRFA-S2-O_datasheet_en-gb.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\"
5199;H779R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;80;6;600 kPa;;;;90 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-C;;;;287;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\"
5483;H7080X100-S4;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..X..S..;H7..X..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;80;25;2500 kPa;;;;100 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;270;"EU\Products\Water solutions\Globe valve range valves\PN25, flange\3-way\"
