PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
104776;D665N+SR230A-5;D665N+SR230A-5;;D665N;+;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";48
104777;D665N/SR230A-5;D665N/SR230A-5;;D665N;/;SR230A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR230A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";49
104778;D665N+SR24A-5;D665N+SR24A-5;;D665N;+;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";46
104779;D665N/SR24A-5;D665N/SR24A-5;;D665N;/;SR24A-5;"Standard actuator";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR24A-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104782;D665N+SR24A-MP-5;D665N+SR24A-MP-5;;D665N;+;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N+SR24A-MP-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104783;D665N/SR24A-MP-5;D665N/SR24A-MP-5;;D665N;/;SR24A-MP-5;"Communicative actuator";0;"Scenario 1
Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D665N/SR24A-MP-5;"Butterfly valve";1200 kPa;7 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";47
104792;D680N+GR24A-SR-5;D680N+GR24A-SR-5;;D680N;+;GR24A-SR-5;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D680N+GR24A-SR-5;"Butterfly valve";1200 kPa;6 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
104793;D680N/GR24A-SR-5;D680N/GR24A-SR-5;;D680N;/;GR24A-SR-5;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D680N/GR24A-SR-5;"Butterfly valve";1200 kPa;6 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";44
107462;R420+LRF230;R420+LRF230;;R420;+;LRF230;"Actuator with emergency control function";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420+LRF230;"Open-close ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107463;R420/LRF230;R420/LRF230;;R420;/;LRF230;"Actuator with emergency control function";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420/LRF230;"Open-close ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
